Wydział;Kierunek;Grupa_ogolna;Wada;Ilosc;Kategoria_wady
Z2WD;EX;Drzwi;Uszkodzenia mechaniczne - obicia;1;Uszkodzenia mechaniczne
Z2WD;PL;Drzwi;Uszkodzenia mechaniczne - obicia;1;Uszkodzenia mechaniczne
Z2WF;PL;Drzwi;Uszkodzenia mechaniczne - obicia;5;Uszkodzenia mechaniczne
Z2WF;PL;Futryny;Uszkodzenia mechaniczne - obicia;22;Uszkodzenia mechaniczne
Z3WD;PL;Drzwi;Uszkodzenia mechaniczne - obicia;3;Uszkodzenia mechaniczne
Z3WD;PL;Futryny;Uszkodzenia mechaniczne - obicia;11;Uszkodzenia mechaniczne
Z4WD;PL;Drzwi;Uszkodzenia mechaniczne - obicia;1;Uszkodzenia mechaniczne
Z4WD;PL;Futryny;Uszkodzenia mechaniczne - obicia;1;Uszkodzenia mechaniczne
Z1WD;PL;Drzwi;Uszkodzenia mechaniczne -rysy;1;Uszkodzenia mechaniczne
Z2WF;EX;Futryny;Uszkodzenia mechaniczne -rysy;2;Uszkodzenia mechaniczne
Z2WF;PL;Drzwi;Uszkodzenia mechaniczne -rysy;1;Uszkodzenia mechaniczne
Z2WF;PL;Futryny;Uszkodzenia mechaniczne -rysy;14;Uszkodzenia mechaniczne
Z3WD;PL;Futryny;Uszkodzenia mechaniczne -rysy;4;Uszkodzenia mechaniczne
Z3WD;PL;Listwa,opaska,panel kpl;Uszkodzenia mechaniczne -rysy;1;Uszkodzenia mechaniczne
Z2WF;PL;Futryny;Wada konstrukcji - Pęknięcie/rozklejanie ościeznicy/opasek;5;Wady konstrukcji
Z3WD;PL;Futryny;Wada konstrukcji - Pęknięcie/rozklejanie ościeznicy/opasek;3;Wady konstrukcji
Z4WD;PL;Futryny;Wada konstrukcji - Pęknięcie/rozklejanie ościeznicy/opasek;1;Wady konstrukcji
Z2WF;PL;Drzwi;Wada konstrukcji - Pęknięcie/rozklejanie płyty skrzydła/ramiaka/ramy;2;Wady konstrukcji
Z3WD;PL;Drzwi;Wada konstrukcji - Pęknięcie/rozklejanie płyty skrzydła/ramiaka/ramy;3;Wady konstrukcji
Z4WD;PL;Drzwi;Wada konstrukcji - Pęknięcie/rozklejanie płyty skrzydła/ramiaka/ramy;1;Wady konstrukcji
Z2WF;PL;Futryny;Wada konstrukcji - Wypaczenie ościeżnicy;2;Wady konstrukcji
Z3WD;PL;Futryny;Wada konstrukcji - Wypaczenie ościeżnicy;3;Wady konstrukcji
Z4WF;PL;Drzwi;Wada konstrukcji - Wypaczenie ościeżnicy;1;Wady konstrukcji
Z1WD;PL;Drzwi;Wada konstrukcji - Wypaczenie skrzydła;3;Wady konstrukcji
Z1WD;PL;Futryny;Wada konstrukcji - Wypaczenie skrzydła;2;Wady konstrukcji
Z2WD;EX;Drzwi;Wada konstrukcji - Wypaczenie skrzydła;2;Wady konstrukcji
Z2WD;PL;Drzwi;Wada konstrukcji - Wypaczenie skrzydła;9;Wady konstrukcji
Z2WF;PL;Drzwi;Wada konstrukcji - Wypaczenie skrzydła;1;Wady konstrukcji
Z3WD;PL;Drzwi;Wada konstrukcji - Wypaczenie skrzydła;9;Wady konstrukcji
Z3WO;EX;Okna;Wada konstrukcji - Wypaczenie skrzydła;1;Wady konstrukcji
Z4WD;PL;Drzwi;Wada konstrukcji - Wypaczenie skrzydła;9;Wady konstrukcji
Z4WF;PL;Drzwi;Wada konstrukcji - drzwi Stalowe;5;Wady konstrukcji
Z1WD;PL;Drzwi;Wada okuć - Blokowanie zamka Hobes;2;Wady okuć
Z3WD;PL;Drzwi;Wada okuć - Blokowanie zamka Hobes;60;Wady okuć
Z2WD;EX;Drzwi;Wada okuć - Blokowanie zamka listwowego LOB;1;Wady okuć
Z2WD;PL;Drzwi;Wada okuć - Blokowanie zamka listwowego LOB;6;Wady okuć
Z3WD;PL;Drzwi;Wada okuć - Blokowanie zamka listwowego LOB;1;Wady okuć
Z1WD;PL;Drzwi;Wada okuć - Blokowanie zamka magnetycznego Hafele;3;Wady okuć
Z2WF;PL;Drzwi;Wada okuć - Blokowanie zamka magnetycznego Hafele;6;Wady okuć
Z3WD;PL;Drzwi;Wada okuć - Blokowanie zamka magnetycznego Hafele;11;Wady okuć
Z4WD;PL;Drzwi;Wada okuć - Blokowanie zamka magnetycznego Hafele;6;Wady okuć
Z3WD;PL;Futryny;Wada okuć - Ciężka praca zawiasów;1;Wady okuć
Z1WD;PL;Drzwi;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);2;Wady okuć
Z1WD;PL;Futryny;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);1;Wady okuć
Z2WD;PL;Drzwi;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);20;Wady okuć
Z2WF;PL;Futryny;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);9;Wady okuć
Z3WD;PL;Drzwi;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);5;Wady okuć
Z3WD;PL;Futryny;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);2;Wady okuć
Z3WO;EX;Okna;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);1;Wady okuć
Z4WD;PL;Drzwi;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);4;Wady okuć
Z4WF;PL;Futryny;Wada okuć - Pozostały asortyment poza (zamkami, zawiasami);1;Wady okuć
Z1WD;PL;Drzwi;Wada powierzchni - Odchodzenie obrzeża;1;Wady powierzchni
Z3WD;PL;Drzwi;Wada powierzchni - Odchodzenie obrzeża;2;Wady powierzchni
Z2WF;EX;Drzwi;Wada powierzchni - Powierzchnia ecotop/hightop/unimat plus (poza odchodzeniem foli);11;Wady powierzchni
Z2WF;EX;Futryny;Wada powierzchni - Powierzchnia ecotop/hightop/unimat plus (poza odchodzeniem foli);8;Wady powierzchni
Z2WF;PL;Drzwi;Wada powierzchni - Powierzchnia ecotop/hightop/unimat plus (poza odchodzeniem foli);33;Wady powierzchni
Z2WF;PL;Futryny;Wada powierzchni - Powierzchnia ecotop/hightop/unimat plus (poza odchodzeniem foli);34;Wady powierzchni
Z3WD;PL;Drzwi;Wada powierzchni - Powierzchnia ecotop/hightop/unimat plus (poza odchodzeniem foli);7;Wady powierzchni
Z3WD;PL;Futryny;Wada powierzchni - Powierzchnia ecotop/hightop/unimat plus (poza odchodzeniem foli);7;Wady powierzchni
Z2WD;PL;Drzwi;Wada powierzchni - Powierzchnia laminowana/lamistone/silikstone (poza odchodzeniem foli);1;Wady powierzchni
Z2WF;EX;Futryny;Wada powierzchni - Powierzchnia laminowana/lamistone/silikstone (poza odchodzeniem foli);1;Wady powierzchni
